nmr	mb	Nsamples	spearmanR	p.value	FDR	FWER
"S_VLDL_TG"	"TCA"	297	-0.225632893418128	9.11649011464651e-05	0.046	0.7
"XS_VLDL_TG"	"TCA"	297	-0.233498141216262	5.07160082399713e-05	0.0321917808219178	0.54
"XL_HDL_P"	"PWY-5100"	297	-0.231923351050868	5.71251212033903e-05	0.0354430379746835	0.6
"XL_HDL_L"	"PWY-5100"	297	-0.235342267221462	4.40740654734679e-05	0.0285714285714286	0.49
"XL_HDL_C"	"PWY-5100"	297	-0.248796691749712	1.53076303280502e-05	0.0155555555555556	0.27
"XL_HDL_CE"	"PWY-5100"	297	-0.247647891943194	1.67929232673289e-05	0.0151063829787234	0.27
"XL_HDL_FC"	"PWY-5100"	297	-0.238330612491686	3.502544765084e-05	0.0250793650793651	0.44
"S_HDL_FC"	"PWY-5101"	297	0.227842572725553	7.42474284747927e-05	0.0396703296703297	0.65
"XL_VLDL_C_percent"	"PWY0-1296"	297	-0.227893390645068	7.71810709950618e-05	0.0402127659574468	0.66
"XL_VLDL_FC_percent"	"GOLPDLCAT-PWY"	297	-0.22866429577839	7.28931038769907e-05	0.0391111111111111	0.63
"XL_VLDL_FC_percent"	"PWY-6609"	297	-0.254607566688104	9.51868627788045e-06	0.0122222222222222	0.16
"XL_VLDL_FC_percent"	"PWY0-1296"	297	-0.245062634324379	2.0651192954952e-05	0.0172549019607843	0.31
"XL_VLDL_TG_percent"	"PWY0-1296"	297	0.224983372634379	9.56040197983363e-05	0.0480392156862745	0.72
"L_VLDL_C_percent"	"GOLPDLCAT-PWY"	297	-0.228143488210602	7.57645939413174e-05	0.0398924731182796	0.65
"L_VLDL_C_percent"	"PWY0-1296"	297	-0.291463519651439	3.58614921330874e-07	0	0
"L_VLDL_CE_percent"	"PWY0-1296"	297	-0.255413741990923	8.90364426799584e-06	0.0127272727272727	0.15
"L_VLDL_TG_percent"	"PWY0-1296"	297	0.274648809883709	1.69556707561275e-06	0.00294117647058824	0.02
"M_VLDL_C_percent"	"PWY0-1296"	297	-0.257283060974336	7.61976086449717e-06	0.0113333333333333	0.11
"M_VLDL_CE_percent"	"PWY0-1296"	297	-0.266834406096151	3.37653321311715e-06	0.00608695652173913	0.05
"M_VLDL_TG_percent"	"PWY0-1296"	297	0.236119585112874	4.15283143298708e-05	0.0269117647058824	0.45
"S_VLDL_C_percent"	"GOLPDLCAT-PWY"	297	-0.240876019399509	2.87332996355804e-05	0.0210344827586207	0.4
"S_VLDL_C_percent"	"PWY-6317"	297	-0.232047941779485	5.65914572565085e-05	0.035	0.59
"S_VLDL_C_percent"	"PWY-6527"	297	-0.243447077339695	2.34742242669033e-05	0.018	0.32
"S_VLDL_C_percent"	"PWY0-1296"	297	-0.268633184740567	2.88674476960353e-06	0.005	0.05
"S_VLDL_C_percent"	"PWY66-422"	297	-0.232047941779485	5.65914572565085e-05	0.035	0.59
"S_VLDL_CE_percent"	"GOLPDLCAT-PWY"	297	-0.252455170240405	1.13649978235451e-05	0.0155263157894737	0.21
"S_VLDL_CE_percent"	"PWY-6317"	297	-0.237097988775841	3.85212768179492e-05	0.0270769230769231	0.44
"S_VLDL_CE_percent"	"PWY-6527"	297	-0.251765340691515	1.20255201737797e-05	0.0153846153846154	0.22
"S_VLDL_CE_percent"	"PWY0-1296"	297	-0.274844399005473	1.66613883507507e-06	0.003125	0.02
"S_VLDL_CE_percent"	"PWY66-422"	297	-0.237097988775841	3.85212768179492e-05	0.0270769230769231	0.44
"S_VLDL_TG_percent"	"GOLPDLCAT-PWY"	297	0.232293458803526	5.5553562612266e-05	0.0351315789473684	0.58
"S_VLDL_TG_percent"	"PWY0-1296"	297	0.239882958003763	3.10488442777499e-05	0.0227118644067797	0.42
"XS_VLDL_C_percent"	"GOLPDLCAT-PWY"	297	-0.243596402992376	2.31986883789791e-05	0.0181481481481481	0.32
"XS_VLDL_C_percent"	"PWY-6317"	297	-0.228827363055551	7.20153132260801e-05	0.0393258426966292	0.63
"XS_VLDL_C_percent"	"PWY-6435"	208	0.269613491009372	8.71042316644438e-05	0.0450515463917526	0.7
"XS_VLDL_C_percent"	"PWY-6527"	297	-0.24501408058455	2.07311278465119e-05	0.0169230769230769	0.31
"XS_VLDL_C_percent"	"PWY-6969"	297	0.231591261792604	5.8570857735692e-05	0.0348192771084337	0.61
"XS_VLDL_C_percent"	"PWY66-422"	297	-0.228827363055551	7.20153132260801e-05	0.0393258426966292	0.63
"XS_VLDL_C_percent"	"TCA"	297	0.25700731237644	7.79738362028301e-06	0.0116129032258065	0.12
"XS_VLDL_CE_percent"	"GOLPDLCAT-PWY"	297	-0.245845448865583	1.94020906193531e-05	0.0164	0.3
"XS_VLDL_CE_percent"	"LACTOSECAT-PWY"	297	-0.22723012823684	8.10593182259431e-05	0.0420833333333333	0.68
"XS_VLDL_CE_percent"	"PWY-6527"	297	-0.241243378827271	2.79189133362111e-05	0.0210526315789474	0.38
"XS_VLDL_CE_percent"	"TCA"	297	0.250074204772191	1.38026315692006e-05	0.0145454545454545	0.24
"XS_VLDL_TG_percent"	"GOLPDLCAT-PWY"	297	0.25129766740505	1.24939074891708e-05	0.01525	0.22
