nmr	path	path.name	path.class	rval	Pval	fdr	fwer
XL_VLDL_P	PWY-6565	PWY-6565: superpathway of polyamine biosynthesis III	Polyamine-Biosynthesis	-0.163959562	2.63E-07	0	0
XL_VLDL_L	PWY-6565	PWY-6565: superpathway of polyamine biosynthesis III	Polyamine-Biosynthesis	-0.163906582	2.65E-07	0	0
XL_VLDL_PL	PWY-6565	PWY-6565: superpathway of polyamine biosynthesis III	Polyamine-Biosynthesis	-0.162598864	3.30E-07	0	0
L_VLDL_P	PWY-6565	PWY-6565: superpathway of polyamine biosynthesis III	Polyamine-Biosynthesis	-0.16846718	1.21E-07	0	0
L_VLDL_P	PWY-6562	PWY-6562: norspermidine biosynthesis	Polyamine-Biosynthesis	-0.165869294	1.90E-07	0	0
L_VLDL_L	PWY-6565	PWY-6565: superpathway of polyamine biosynthesis III	Polyamine-Biosynthesis	-0.169682971	9.81E-08	0	0
L_VLDL_L	PWY-6562	PWY-6562: norspermidine biosynthesis	Polyamine-Biosynthesis	-0.167176716	1.52E-07	0	0
L_VLDL_PL	PWY-6565	PWY-6565: superpathway of polyamine biosynthesis III	Polyamine-Biosynthesis	-0.168492169	1.21E-07	0	0
L_VLDL_PL	PWY-6562	PWY-6562: norspermidine biosynthesis	Polyamine-Biosynthesis	-0.166210344	1.79E-07	0	0
L_VLDL_C	PWY-6565	PWY-6565: superpathway of polyamine biosynthesis III	Polyamine-Biosynthesis	-0.173429711	5.06E-08	0	0
L_VLDL_C	PWY-6562	PWY-6562: norspermidine biosynthesis	Polyamine-Biosynthesis	-0.171617564	6.98E-08	0	0
L_VLDL_CE	PWY-6565	PWY-6565: superpathway of polyamine biosynthesis III	Polyamine-Biosynthesis	-0.1668228	1.61E-07	0	0
L_VLDL_CE	PWY-6562	PWY-6562: norspermidine biosynthesis	Polyamine-Biosynthesis	-0.165637745	1.97E-07	0	0
L_VLDL_FC	PWY-6565	PWY-6565: superpathway of polyamine biosynthesis III	Polyamine-Biosynthesis	-0.174637793	4.07E-08	0	0
L_VLDL_FC	PWY-6562	PWY-6562: norspermidine biosynthesis	Polyamine-Biosynthesis	-0.172453102	6.02E-08	0	0
L_VLDL_TG	PWY-6565	PWY-6565: superpathway of polyamine biosynthesis III	Polyamine-Biosynthesis	-0.165222407	2.12E-07	0	0
L_VLDL_TG	PWY-6562	PWY-6562: norspermidine biosynthesis	Polyamine-Biosynthesis	-0.162541368	3.33E-07	0	0
M_VLDL_P	PWY-6565	PWY-6565: superpathway of polyamine biosynthesis III	Polyamine-Biosynthesis	-0.164186005	2.53E-07	0	0
M_VLDL_L	PWY-6565	PWY-6565: superpathway of polyamine biosynthesis III	Polyamine-Biosynthesis	-0.163177261	3.00E-07	0	0
M_VLDL_TG	VALDEG-PWY	VALDEG-PWY: L-valine degradation I	Amino Acids Degradation	-0.167238317	1.50E-07	0	0
M_VLDL_TG	PWY-6565	PWY-6565: superpathway of polyamine biosynthesis III	Polyamine-Biosynthesis	-0.166204763	1.79E-07	0	0
M_VLDL_TG	PWY-6562	PWY-6562: norspermidine biosynthesis	Polyamine-Biosynthesis	-0.163211653	2.98E-07	0	0
M_VLDL_TG	PWY-3481	PWY-3481: superpathway of L-phenylalanine and L-tyrosine biosynthesis	Amino Acids Biosynthesis	-0.167077952	1.54E-07	0	0
S_VLDL_TG	PWY-3481	PWY-3481: superpathway of L-phenylalanine and L-tyrosine biosynthesis	Amino Acids Biosynthesis	-0.163224469	2.97E-07	0	0
IDL_FC	LYSINE-AMINOAD-PWY	LYSINE-AMINOAD-PWY: L-lysine biosynthesis IV	Amino Acids Biosynthesis	0.175216972	3.67E-08	0	0
S_HDL_P	NONOXIPENT-PWY	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)	Pentose-Phosphate-Cycle	0.172440517	6.03E-08	0	0
S_HDL_L	NONOXIPENT-PWY	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)	Pentose-Phosphate-Cycle	0.174675597	4.05E-08	0	0
S_HDL_PL	PWY-6703	PWY-6703: preQ0 biosynthesis	Secondary Metabolites Biosynthesis	-0.168897271	1.13E-07	0	0
S_HDL_PL	PWY-5173	PWY-5173: superpathway of acetyl-CoA biosynthesis	Acetyl-CoA-Biosynthesis	-0.165995048	1.86E-07	0	0
S_HDL_PL	P23-PWY	P23-PWY: reductive TCA cycle I	C1 Compounds Utilization and Assimilation	-0.170540753	8.44E-08	0	0
S_HDL_FC	NONOXIPENT-PWY	NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)	Pentose-Phosphate-Cycle	0.187435547	3.74E-09	0	0
XXL_VLDL_TG_percent	P221-PWY	P221-PWY: octane oxidation	Other-Degradation	-0.177046835	2.63E-08	0	0
