nmr	species	rval	Pval	fdr	fwer
XXL_VLDL_P	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_unclassified	-0.214347997489405	4.39938622722332e-05	0.04	0.57
XXL_VLDL_L	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_unclassified	-0.215702110663285	3.92718770386996e-05	0.0361538461538462	0.52
XXL_VLDL_C	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_unclassified	-0.221618607449827	2.3716677863476e-05	0.0268292682926829	0.4
XXL_VLDL_CE	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_unclassified	-0.209850972336772	6.38228984739972e-05	0.0488888888888889	0.67
XXL_VLDL_FC	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_unclassified	-0.217014207684288	3.51569337957586e-05	0.0353061224489796	0.5
XXL_VLDL_TG	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_unclassified	-0.213669514428139	4.65570014645096e-05	0.0405454545454545	0.6
L_VLDL_P	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified	-0.14904316168177	2.96223456248293e-06	0.004375	0.06
L_VLDL_L	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified	-0.147354699164974	3.83686851018453e-06	0.00631578947368421	0.09
L_VLDL_PL	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified	-0.142438241373989	8.02000549806474e-06	0.0121739130434783	0.21
L_VLDL_C	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified	-0.134590875770809	2.4767994429351e-05	0.0273809523809524	0.4
L_VLDL_CE	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified	-0.138508562264478	1.42128063411578e-05	0.0181818181818182	0.32
L_VLDL_FC	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified	-0.134005206339389	2.68776605137295e-05	0.028	0.42
L_VLDL_TG	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified	-0.155264742913831	1.11430500772742e-06	0	0
M_VLDL_TG	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified	-0.130310193898466	4.46709449975006e-05	0.0398148148148148	0.58
S_VLDL_TG	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified	-0.129785838645685	4.79588260205657e-05	0.0393220338983051	0.62
XL_HDL_FC	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified	0.128631690914569	5.60208549937398e-05	0.0441935483870968	0.65
S_HDL_P	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques	0.129433098426432	4.98527935678822e-05	0.0396666666666667	0.62
S_HDL_P	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans	0.1543622014566	1.65291785834117e-06	0.00166666666666667	0.01
S_HDL_P	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_5_1_39BFAA	0.141891035163188	1.88912920787273e-05	0.0210526315789474	0.35
S_HDL_L	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans	0.155402263983299	1.40433625170651e-06	0	0
S_HDL_L	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_5_1_39BFAA	0.145049236130547	1.22222139878725e-05	0.018	0.3
S_HDL_PL	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques	0.129896631979239	4.68243677305951e-05	0.0405357142857143	0.61
S_HDL_PL	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans	0.154247153139455	1.68287779550719e-06	0.00153846153846154	0.01
S_HDL_PL	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_5_1_39BFAA	0.144899861979974	1.24790943558354e-05	0.0174193548387097	0.3
S_HDL_FC	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans	0.153760494513621	1.81547547317732e-06	0.00142857142857143	0.01
S_HDL_FC	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_5_1_39BFAA	0.153211178761192	3.80293544845956e-06	0.00666666666666667	0.09
